fish_number,fish_id,treatment,tank_id,sex,body_mass_before,body_mass_after,body_mass,body_length,trial,distance_cm,freezing_s,refuge_duration_s,velocity_cm.s,total_wbc,n.l_ratio
107,107T4L,low,4,male,0.704,0.667,0.667,3.4,Trial 32,2665.19,774.28,0,1.97661,,
108,108T12H,high,12,female,0.873,0.7384,0.7384,3.49,Trial 25,118.298,1192.92,995.48,0.992569,27,0.111111111
109,109T12H,high,12,male,0.837,0.835,0.835,3.58,Trial 12,1234.8,1046.76,282.84,0.471152,,
110,110T12H,high,12,male,1.283,1.187,1.187,3.94,Trial 5,2496.56,851.98,280.68,0.771013,26,0.136363636
111,111T12H,high,12,female,0.524,0.428,0.428,2.97,Trial 32,1499.22,918.32,497.5,2.69825,,
112,112T12H,high,12,female,0.451,0.443,0.443,3.05,Trial 32,620.241,1099.04,624.88,2.2921,45,0.219512195
113,113T12H,high,12,male,0.887,0.844,0.844,3.7,Trial 18,1201.05,1022.56,676.66,1.23673,,
114,114T12H,high,12,female,0.905,0.861,0.861,3.61,Trial 18,261.4,671.56,0,2.32945,,
115,115T21C,control,21,male,0.625,0.5587,0.5587,3.19,Trial 26,833.748,1099.2,672.72,1.90577,25,0.234567901
116,116T21C,control,21,male,0.983,0.969,0.969,3.8,Trial 26,352.973,1001.08,0.04,1.63337,30,0.333333333
117,117T21C,control,21,male,0.564,0.501,0.501,3.05,Trial 13,1307.97,1053.52,694.6,1.45417,57,0.176470588
118,118T21C,control,21,female,0.493,0.442,0.442,2.95,Trial 6,269.64,1119.8,998.96,1.17807,34,0.492537313
120,120T21C,control,21,female,0.55,0.449,0.449,2.97,Trial 19,1638.46,880.5,41.34,0.127754,,
121,121T21C,control,21,male,0.532,0.489,0.489,2.95,Trial 6,1.56E-12,1200,1200.02,1.38377,,
122,122T8L,low,8,male,0.68,0.608,0.608,3.21,Trial 6,1055.09,1056.06,292.46,0.234461,55,0.190476191
123,123T8L,low,8,female,0.678,0.653,0.653,3.4,Trial 26,2848.98,791.22,301.26,1.03089,17,0.5625
124,124T8L,low,8,male,0.563,0.493,0.493,3.08,Trial 19,842.602,1103.06,936.92,1.23747,,
125,125T8L,low,8,male,0.567,0.517,0.517,3.05,Trial 13,1209.39,1057.64,417.96,1.9784,50,0.190476191
126,126T8L,low,8,female,0.694,0.657,0.657,3.43,Trial 13,1622.79,926.8,339.94,,39,0.162790698
127,127T8L,low,8,female,0.36,0.352,0.352,2.75,Trial 33,253.33,1179.24,0,0.737577,30,0.176470588
128,128T8L,low,8,male,0.524,0.532,0.532,3.19,Trial 33,144.914,1018.82,0,0.080288,23,0.136363636
129,129T15H,high,15,female,0.478,0.439,0.439,2.9,Trial 13,1003.18,727.02,209.72,0.046534,,
130,130T15H,high,15,female,1.357,1.326,1.326,4.22,Trial 6,1329.21,741.44,159.28,0.318996,38,0.162790698
131,131T15H,high,15,male,0.538,0.5166,0.5166,3.17,Trial 26,849.238,1104.68,119.28,0.243554,31,0.162790698
132,132T15H,high,15,female,0.753,0.769,0.769,3.55,Trial 33,668.955,1043.24,0,0.158548,21,0.111111111
133,133T15H,high,15,male,0.416,0.362,0.362,2.6,Trial 19,2686.05,946.06,608.22,0.474354,25,0.204819277
134,134T15H,high,15,female,0.792,0.778,0.778,3.68,Trial 19,325.938,586.84,146.76,1.52419,32,0.111111111
135,135T15H,high,15,female,0.675,0.659,0.659,3.3,Trial 33,1056.31,1046.24,677.08,2.20223,,
136,136T23C,control,23,female,0.807,0.766,0.766,3.55,Trial 34,603.686,541,0,0.25947,,
137,137T23C,control,23,female,0.656,0.61,0.61,3.25,Trial 27,693.869,1157.86,523.58,1.71993,26,0.282051282
138,138T23C,control,23,female,0.615,0.563,0.563,3.3,Trial 7,4490.92,504.08,78.42,1.03857,16,0.204819277
139,139T23C,control,23,male,0.718,0.667,0.667,3.45,Trial 42,1214.97,1066.24,127.12,1.34875,57,0.123595506
140,140T23C,control,23,male,0.721,0.671,0.671,3.43,Trial 27,244.417,1137.04,694.68,1.55846,,
141,141T23C,control,23,male,0.816,0.779,0.779,3.5,Trial 20,110.757,1189.7,1122.06,0.845354,45,0.098901099
142,142T23C,control,23,male,0.644,0.58,0.58,3.25,Trial 7,565.185,1158.56,588.22,0.36356,44,0.111111111
143,143T9L,low,9,female,0.781,0.712,0.712,3.43,Trial 7,2784.97,709.4,125.7,2.58877,26,0.282051282
144,144T9L,low,9,female,0.876,0.766,0.766,3.47,Trial 34,2053.84,823.18,13.06,1.47057,22,0.123595506
145,145T19L,low,9,male,0.578,0.561,0.561,3.25,Trial 20,1221.36,1019.12,473.32,0.580956,,
146,146T9L,low,9,male,0.662,0.628,0.628,3.25,Trial 42,2648.26,786.94,408.8,0.962607,42,0.176470588
147,147T9L,low,9,female,0.62,0.579,0.579,3.08,Trial 42,909.765,889.92,480.44,1.05E-15,32,0.190476191
148,148T9L,low,9,female,0.583,0.535,0.535,3.1,Trial 41,2488.06,726.46,17.5,0.102773,23,0.190476191
149,149T9L,low,9,female,0.438,0.414,0.414,2.95,Trial 20,86.3824,1191.72,1108.56,0.473847,37,0.204819277
150,150T20H,high,20,female,0.548,0.519,0.519,3.1,Trial 42,2242.23,844.34,442.26,0.786285,56,0.265822785
151,151T20H,high,20,female,0.778,0.756,0.756,3.51,Trial 7,1238.79,1009.7,176.48,0.846537,,
152,152T20H,high,20,male,0.595,0.534,0.534,3.12,Trial 34,2810.33,645.38,153.92,2.42818,27,0.190476191
153,153T20H,high,20,female,0.471,0.452,0.452,3,Trial 34,2074.4,789.94,580.24,0.486893,13,0.111111111
154,154T20H,high,20,female,0.647,0.619,0.619,3.25,Trial 27,67.9135,288.44,0,0.104143,61,0.075268817
155,155T20H,high,20,male,0.768,0.748,0.748,3.55,Trial 20,1094.5,905.66,9.44,0.36001,37,0.123595506
156,156T20H,high,20,male,0.728,0.676,0.676,3.4,Trial 27,1174.65,1029.08,172.06,0.21978,26,0.204819277
157,PIL-6,control,21,male,,0.252,0.252,2.49,Trial 40,1368.71,1046.24,737.34,1.14063,29,0.204819277
